State,AreaName,All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,M_With,M_Without,F_With,F_Without,All_With,All_Without,Incidence_Rate,Avg_Ann_Incidence,RecentTrend,Mortality_Rate,Avg_Ann_Deaths,POPESTIMATE2015,Rising,Falling
AK,"Anchorage Municipality, Alaska",23914,10698,13216,2020,78326,120747,23245,122426,21393,243173,44638,61.5,131,stable,47.3,96,298695,0,0
AK,"Bethel Census Area, Alaska",4364,2199,2165,2050,51012,6396,2708,6627,1774,13023,4482,62.7,6,stable,58.3,5,17946,0,0
AK,"Fairbanks North Star Borough, Alaska",7752,3523,4229,2090,71068,40605,6957,40210,5322,80815,12279,58.1,36,stable,54,31,99631,0,0
AK,"Juneau City and Borough, Alaska",2110,1145,965,2110,85746,13739,2433,13582,2213,27321,4646,35.1,9,stable,34.4,8,32756,0,0
AK,"Kenai Peninsula Borough, Alaska",5558,2596,2962,2122,63684,22391,6435,21668,5433,44059,11868,64.9,39,stable,50.1,28,58059,0,0
AK,"Ketchikan Gateway Borough, Alaska",1640,792,848,2130,64222,5339,1428,5527,1082,10866,2510,88.3,12,stable,70.8,9,13709,0,0
AK,"Kodiak Island Borough, Alaska",1552,962,590,2150,70887,4941,1920,4943,1479,9884,3399,74.7,7,stable,76.2,6,13889,0,0
AK,"Matanuska-Susitna Borough, Alaska",9454,4346,5108,2170,72983,39282,9314,37751,8084,77033,17398,69.7,51,stable,53.9,37,101095,0,0
AK,"Nome Census Area, Alaska",2592,1399,1193,2180,48868,3506,1605,3430,1114,6936,2719,103.6,6,stable,96.1,6,9846,0,0
AK,"North Slope Borough, Alaska",976,532,444,2185,72576,4847,1248,2579,910,7426,2158,153.4,6,stable,124.9,5,9687,0,0
AK,"Sitka City and Borough, Alaska",798,424,374,2220,70376,3635,841,3591,692,7226,1533,44,4,stable,39.6,3,8863,0,0
AK,"Valdez-Cordova Census Area, Alaska",1029,598,431,2261,78810,3670,1292,3566,884,7236,2176,66.1,6,stable,60.8,4,9362,0,0
AL,"Autauga County, Alabama",7057,2983,4074,1001,51281,23500,2781,25417,2727,48917,5508,74.9,43,stable,59.3,34,55347,0,0
AL,"Baldwin County, Alabama",25798,12018,13780,1003,50254,79768,13644,88015,11343,167783,24987,66.9,170,stable,48,121,203709,0,0
AL,"Barbour County, Alabama",6421,2856,3565,1005,32964,9578,2163,10750,1569,20328,3732,74.6,25,stable,61.3,20,26489,0,0
AL,"Bibb County, Alabama",3488,1495,1993,1007,38678,9342,1012,9421,995,18763,2007,86.4,23,stable,67.8,17,22583,0,0
AL,"Blount County, Alabama",9552,4593,4959,1009,45813,24629,3642,25922,3017,50551,6659,69.7,51,stable,59.9,43,57673,0,0
AL,"Bullock County, Alabama",2486,981,1505,1011,31938,4088,1066,4191,762,8279,1828,65.8,9,stable,29.7,4,10696,0,0
AL,"Butler County, Alabama",5094,2073,3021,1013,32229,8129,1223,9482,1236,17611,2459,58.3,17,stable,52.6,15,20154,0,0
AL,"Calhoun County, Alabama",23325,9500,13825,1015,41703,47992,7440,53518,6245,101510,13685,84.2,120,stable,59.9,86,115620,0,0
AL,"Chambers County, Alabama",7273,3091,4182,1017,34177,13928,2198,15131,2476,29059,4674,75.4,34,falling,63.1,29,34123,0,1
AL,"Cherokee County, Alabama",4918,2421,2497,1019,36296,11401,1404,11730,1137,23131,2541,82.4,32,stable,54,21,25859,0,0
AL,"Chilton County, Alabama",8288,3871,4417,1021,41627,18164,3252,18371,3712,36535,6964,73.9,39,stable,66,34,43943,0,0
AL,"Choctaw County, Alabama",3093,1206,1887,1023,33536,5384,934,6098,850,11482,1784,49.2,10,stable,43,9,13170,0,0
AL,"Clarke County, Alabama",6107,2495,3612,1025,32011,9881,1825,11159,1934,21040,3759,69.5,23,stable,43.9,15,24675,0,0
AL,"Clay County, Alabama",2201,902,1299,1027,35327,5518,1022,5839,886,11357,1908,83.3,16,stable,69.1,13,13555,0,0
AL,"Cleburne County, Alabama",2508,1069,1439,1029,38056,6234,1017,6582,1013,12816,2030,74.9,14,stable,59.7,12,15018,0,0
AL,"Coffee County, Alabama",8581,3867,4714,1031,46729,20688,2891,22567,2783,43255,5674,71.5,43,stable,55.1,33,51211,0,0
AL,"Colbert County, Alabama",9406,4124,5282,1033,40576,23057,3007,24955,3003,48012,6010,75.9,57,stable,61.2,46,54354,0,0
AL,"Conecuh County, Alabama",4320,2011,2309,1035,24900,4925,1217,5227,1449,10152,2666,73.5,14,stable,60.2,12,12672,0,0
AL,"Coosa County, Alabama",2073,961,1112,1037,31212,4474,866,4605,805,9079,1671,82.6,14,stable,68.9,11,10724,0,0
AL,"Covington County, Alabama",7515,3263,4252,1039,36444,15536,2520,16877,2437,32413,4957,83,44,stable,71.9,39,37835,0,0
AL,"Crenshaw County, Alabama",2288,1068,1220,1041,36022,5847,939,6229,748,12076,1687,61.5,11,stable,47.3,9,13963,0,0
AL,"Cullman County, Alabama",14814,6760,8054,1043,38971,33641,6024,34557,5978,68198,12002,69.6,73,stable,61.4,63,82005,0,0
AL,"Dale County, Alabama",9306,4092,5214,1045,45028,19228,3179,21602,3161,40830,6340,76.7,44,stable,63.6,37,49565,0,0
AL,"Dallas County, Alabama",14580,5889,8691,1047,27306,16398,2891,19599,2951,35997,5842,76.2,39,stable,65.3,33,41131,0,0
AL,"DeKalb County, Alabama",13133,5783,7350,1049,38192,28735,6363,29767,5509,58502,11872,60.8,51,stable,56.3,46,71130,0,0
AL,"Elmore County, Alabama",10334,4413,5921,1051,53555,31679,3669,36728,3425,68407,7094,78.1,66,stable,66.1,55,81468,0,0
AL,"Escambia County, Alabama",8609,3695,4914,1053,32330,14055,3261,14958,3333,29013,6594,75.5,36,stable,67,32,37789,0,0
AL,"Etowah County, Alabama",20078,8854,11224,1055,39220,42271,7457,46984,6023,89255,13480,81.9,110,stable,67.7,90,103057,0,0
AL,"Fayette County, Alabama",3055,1449,1606,1057,34680,7557,832,7568,751,15125,1583,77.3,19,stable,58.3,14,16759,0,0
AL,"Franklin County, Alabama",7020,2598,4422,1059,35372,12966,2200,13441,2767,26407,4967,72.4,28,stable,65.8,25,31696,0,0
AL,"Geneva County, Alabama",6149,2689,3460,1061,36024,10913,2091,11495,1977,22408,4068,90.3,35,stable,71.2,27,26777,0,0
AL,"Greene County, Alabama",3479,1562,1917,1063,20541,3304,777,4081,484,7385,1261,87.9,10,stable,34.5,5,8479,0,0
AL,"Hale County, Alabama",4011,1638,2373,1065,32714,6051,997,7096,854,13147,1851,71,14,stable,57.8,11,15068,0,0
AL,"Henry County, Alabama",2657,1085,1572,1067,41997,7002,1164,7934,926,14936,2090,66.5,17,falling,56.3,14,17221,0,1
AL,"Houston County, Alabama",18746,7893,10853,1069,41571,42001,6928,47530,6187,89531,13115,70.8,88,stable,56.1,69,104173,0,0
AL,"Jackson County, Alabama",9415,4398,5017,1071,37745,21752,4072,23118,3424,44870,7496,80.9,58,stable,64,46,52419,0,0
AL,"Jefferson County, Alabama",121029,52750,68279,1073,45610,266456,40710,307962,36469,574418,77179,65.1,482,falling,51.5,381,660367,0,1
AL,"Lamar County, Alabama",3382,1302,2080,1075,35450,5876,885,6248,980,12124,1865,80.4,17,stable,72.2,15,13886,0,0
AL,"Lauderdale County, Alabama",16232,6772,9460,1077,43125,38885,5228,42682,5167,81567,10395,69.3,87,stable,56.8,71,92596,0,0
AL,"Lawrence County, Alabama",6225,2780,3445,1079,40003,14223,2042,15306,1773,29529,3815,88.1,37,stable,70,29,33115,0,0
AL,"Lee County, Alabama",34561,15869,18692,1081,44570,64110,8577,69209,7141,133319,15718,59.4,71,stable,57.1,66,156993,0,0
AL,"Limestone County, Alabama",12075,5206,6869,1083,49570,35387,5442,38770,5206,74157,10648,73.4,69,stable,55.9,51,91663,0,0
AL,"Lowndes County, Alabama",3035,1353,1682,1085,25876,4122,883,5036,563,9158,1446,57.6,8,stable,44,6,10458,0,0
AL,"Macon County, Alabama",4636,2060,2576,1087,30738,7564,1437,9797,1011,17361,2448,57.9,15,stable,41.1,10,19105,0,0
AL,"Madison County, Alabama",46436,21195,25241,1089,57993,145531,20878,156037,19760,301568,40638,64.8,236,falling,50.4,179,353089,0,1
AL,"Marengo County, Alabama",5244,2056,3188,1091,32042,8133,1209,9532,1205,17665,2414,61.6,17,stable,51.9,15,20028,0,0
AL,"Marion County, Alabama",5960,2805,3155,1093,32299,12619,1902,13590,1618,26209,3520,74.2,33,stable,51.7,23,30168,0,0
AL,"Marshall County, Alabama",18794,8426,10368,1095,38983,37272,8805,40331,7023,77603,15828,79.4,90,stable,66.6,75,94725,0,0
AL,"Mobile County, Alabama",77917,31927,45990,1097,43809,163094,28997,185337,28790,348431,57787,75.4,347,stable,63.3,289,415395,0,0
AL,"Monroe County, Alabama",6901,2912,3989,1099,27257,8832,1717,9448,2005,18280,3722,62.3,19,stable,52.9,16,21673,0,0
AL,"Montgomery County, Alabama",49918,21699,28219,1101,44369,88803,15281,105296,13407,194099,28688,61,144,falling,49.9,117,226519,0,1
AL,"Morgan County, Alabama",18936,7640,11296,1103,45751,48705,9071,51963,8345,100668,17416,80.4,116,stable,60.5,88,119565,0,0
AL,"Perry County, Alabama",3373,1510,1863,1105,24537,3926,666,4539,757,8465,1423,83.1,11,stable,60.3,8,9652,0,0
AL,"Pickens County, Alabama",4801,2116,2685,1107,30330,8174,1403,8582,1095,16756,2498,65.6,18,stable,57.5,16,20864,0,0
AL,"Pike County, Alabama",8158,3810,4348,1109,32825,13996,1760,15437,1754,29433,3514,61.8,22,stable,47.2,16,33046,0,0
AL,"Randolph County, Alabama",4511,2048,2463,1111,36924,9324,1666,9877,1545,19201,3211,75.5,24,stable,58.5,18,22696,0,0
AL,"Russell County, Alabama",12054,4782,7272,1113,37049,22282,4430,24884,4777,47166,9207,78.7,47,stable,64,38,59660,0,0
AL,"St. Clair County, Alabama",13417,6115,7302,1115,51859,36930,4549,38204,4318,75134,8867,74.7,72,stable,65,61,87074,0,0
AL,"Shelby County, Alabama",16693,7492,9201,1117,70187,88004,9927,95944,7945,183948,17872,57.1,108,stable,47.3,88,208713,0,0
AL,"Sumter County, Alabama",5372,2187,3185,1119,19501,4522,1343,6152,1187,10674,2530,55.5,9,stable,51,9,13103,0,0
AL,"Talladega County, Alabama",17950,7613,10337,1121,35155,32170,5151,36501,4860,68671,10011,74,74,stable,61,61,80862,0,0
AL,"Tallapoosa County, Alabama",9117,3646,5471,1123,39206,16879,2385,18924,2428,35803,4813,70.5,41,stable,54.5,32,40844,0,0
AL,"Tuscaloosa County, Alabama",36274,15124,21150,1125,46565,85157,10782,93413,9656,178570,20438,72.3,135,stable,54.4,100,203976,0,0
AL,"Walker County, Alabama",14598,6480,8118,1127,35843,26799,4750,29620,4050,56419,8800,98.3,89,stable,79.8,71,65294,0,0
AL,"Washington County, Alabama",3200,1367,1833,1129,42811,7140,1263,7114,1352,14254,2615,74.8,16,stable,65.3,14,16804,0,0
AL,"Wilcox County, Alabama",4126,1910,2216,1131,23750,4326,879,4850,921,9176,1800,73.2,11,stable,61.7,9,11059,0,0
AL,"Winston County, Alabama",5157,2035,3122,1133,33194,10251,1462,10390,1726,20641,3188,90.8,31,stable,69.9,24,23877,0,0
AR,"Arkansas County, Arkansas",3705,1514,2191,5001,36411,7568,1273,8583,1068,16151,2341,85.9,21,stable,67.8,17,18433,0,0
AR,"Ashley County, Arkansas",4352,1961,2391,5003,34263,8544,1538,9494,1478,18038,3016,77,23,stable,58.6,17,20838,0,0
AR,"Baxter County, Arkansas",6452,3062,3390,5005,35396,17259,2372,18915,2026,36174,4398,85.6,71,stable,64.3,54,41053,0,0
AR,"Benton County, Arkansas",28804,13213,15591,5007,56239,100609,16255,105249,14411,205858,30666,56.4,129,stable,47,106,249672,0,0
AR,"Boone County, Arkansas",6465,2751,3714,5009,39251,15299,2602,16771,2130,32070,4732,67.7,35,stable,62.6,33,37222,0,0
AR,"Bradley County, Arkansas",3218,1350,1868,5011,33701,4534,989,4797,793,9331,1782,86.3,13,stable,68.3,11,11094,0,0
AR,"Calhoun County, Arkansas",907,409,498,5013,36899,2227,411,2228,320,4455,731,82.5,6,stable,70.2,5,5229,0,0
AR,"Carroll County, Arkansas",5001,2173,2828,5015,36897,11137,2296,11452,2537,22589,4833,59.1,25,stable,47.7,20,27704,0,0
AR,"Chicot County, Arkansas",3385,1350,2035,5017,28913,4159,829,4935,763,9094,1592,76.4,12,stable,70.2,12,11027,0,0
AR,"Clark County, Arkansas",4716,1872,2844,5019,35031,9169,1412,10481,1349,19650,2761,71.6,19,stable,53.3,15,22633,0,0
AR,"Clay County, Arkansas",3324,1472,1852,5021,32552,6214,1308,6654,1090,12868,2398,108.7,26,stable,80.1,20,15109,0,0
AR,"Cleburne County, Arkansas",3676,1696,1980,5023,42905,10744,1960,10629,2018,21373,3978,83.6,38,stable,70.5,32,25467,0,0
AR,"Cleveland County, Arkansas",1751,785,966,5025,43158,3802,415,3698,517,7500,932,77.5,9,stable,67,7,8311,0,0
AR,"Columbia County, Arkansas",5823,2540,3283,5027,36619,9961,1427,10874,1642,20835,3069,72,21,stable,62.6,19,24114,0,0
AR,"Conway County, Arkansas",4709,2344,2365,5029,37732,8987,1322,9349,1275,18336,2597,75,21,stable,55.1,16,21019,0,0
AR,"Craighead County, Arkansas",19715,8920,10795,5031,42475,40807,8090,44480,7051,85287,15141,74.6,74,stable,49.2,48,104354,0,0
AR,"Crawford County, Arkansas",11304,5456,5848,5033,41268,25253,4761,27005,4175,52258,8936,79.1,56,stable,61.8,43,61703,0,0
AR,"Crittenden County, Arkansas",11802,4745,7057,5035,38004,19835,3330,22367,3672,42202,7002,75.6,37,stable,72.2,36,48963,0,0
AR,"Cross County, Arkansas",3461,1459,2002,5037,38103,6927,1358,7966,1005,14893,2363,77.5,18,stable,75.7,17,17284,0,0
AR,"Dallas County, Arkansas",1141,521,620,5039,34084,3076,490,3215,559,6291,1049,82.2,9,stable,74,9,7604,0,0
AR,"Desha County, Arkansas",4029,1628,2401,5041,27197,4813,911,5534,1048,10347,1959,79.2,13,stable,62.8,11,11965,0,0
AR,"Drew County, Arkansas",5023,2381,2642,5043,32819,7468,1560,8028,1292,15496,2852,77.3,17,falling,66.9,15,18778,0,1
AR,"Faulkner County, Arkansas",17768,7625,10143,5045,51223,50314,7392,53062,7289,103376,14681,75.9,78,stable,61.3,61,121552,0,0
AR,"Franklin County, Arkansas",3854,1651,2203,5047,39285,7539,1116,7827,1098,15366,2214,77.1,19,stable,70.1,17,17702,0,0
AR,"Fulton County, Arkansas",2383,1094,1289,5049,37066,5109,849,5326,756,10435,1605,64.7,14,stable,51.3,11,12204,0,0
AR,"Garland County, Arkansas",19802,9205,10597,5051,38733,37960,8263,42017,7421,79977,15684,80.6,121,stable,62.5,95,97177,0,0
AR,"Grant County, Arkansas",2134,943,1191,5053,46171,7806,1002,8160,929,15966,1931,96.1,21,stable,66.9,14,18102,0,0
